train_single_dqn.py:130: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_new.cpp:277.)
  image_seq_input = torch.tensor(image_seq, dtype=torch.float32).unsqueeze(0).to(device)
Episode 147/100000, Total Reward: -5, loss: 16.015625
Episode 148/100000, Total Reward: -5, loss: 15.234375
Episode 149/100000, Total Reward: -5, loss: 17.578189849853516
Episode 150/100000, Total Reward: -5, loss: 16.79692268371582
Episode 151/100000, Total Reward: -5, loss: 14.453125
Episode 152/100000, Total Reward: -5, loss: 14.453125
Episode 153/100000, Total Reward: -5, loss: 17.968826293945312
Episode 154/100000, Total Reward: -5, loss: 14.84375
Episode 155/100000, Total Reward: -5, loss: 19.53125
Episode 156/100000, Total Reward: -5, loss: 17.18754768371582
Episode 157/100000, Total Reward: -5, loss: 16.40629768371582
Episode 158/100000, Total Reward: -5, loss: 14.84375
Episode 159/100000, Total Reward: -5, loss: 14.453195571899414
Episode 160/100000, Total Reward: -5, loss: 17.968807220458984
Episode 161/100000, Total Reward: -5, loss: 15.234375
Episode 162/100000, Total Reward: -5, loss: 16.796998977661133
Episode 163/100000, Total Reward: -5, loss: 19.14069366455078
Episode 164/100000, Total Reward: -5, loss: 13.28125
Episode 165/100000, Total Reward: -5, loss: 15.234554290771484
Episode 166/100000, Total Reward: -5, loss: 17.187604904174805
Episode 167/100000, Total Reward: -5, loss: 16.796913146972656
Episode 168/100000, Total Reward: -5, loss: 14.453171730041504
Episode 169/100000, Total Reward: -5, loss: 16.796913146972656
Episode 170/100000, Total Reward: -5, loss: 14.45317268371582
Episode 171/100000, Total Reward: -5, loss: 17.187597274780273
Episode 172/100000, Total Reward: -5, loss: 15.234375
Episode 173/100000, Total Reward: -5, loss: 14.843802452087402
Episode 174/100000, Total Reward: -5, loss: 14.0625
Episode 175/100000, Total Reward: -5, loss: 16.40630531311035
Episode 176/100000, Total Reward: -5, loss: 16.01568031311035
Episode 177/100000, Total Reward: -5, loss: 16.015625
Episode 178/100000, Total Reward: -5, loss: 17.1875
Episode 179/100000, Total Reward: -5, loss: 19.921875
Episode 180/100000, Total Reward: -5, loss: 16.406375885009766
Episode 181/100000, Total Reward: -5, loss: 16.40625
Episode 182/100000, Total Reward: -5, loss: 18.35947036743164
Episode 183/100000, Total Reward: 5, loss: 13.671875
